scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay
1,Prophet Muhammad SAW,محمّد صلّی اللہ علیہ وآلہ وسلّم ,Rasool Allah,570,633,"Makkah, Medina"
2,Abu Bakr As-Siddique,( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],572,635,"Makkah, Medina"
3,'Umar ibn al-Khattab,( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],582,645,"Makkah, Medina"
4,'Uthman ibn 'Affaan,( عثمان بن عفان ( رضي الله عنه,Comp.(RA) [1st Generation],576,656,"Makkah, Abyssinia, Medinah"
5,Ali ibn Abi Talib,( علي بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],600,661,"Makkah, Medina, kufa"
6,Talha ibn 'Ubaidullah,( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],595,657,"Makkah, Medinah"
7,Zubayr ibn al-Awwam,( الزبير بن العوام بن خويلد ( رضي الله عنه,Comp.(RA) [1st Generation],595,657,"Makkah, Medinah"
8,'Abdur Rahman Ibn 'Awf,( عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA) [1st Generation],623,654,"Makkah, Abyssinia, Medinah"
9,Sa'd ibn Abi Waqqas,( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],584,676,"Makkah, Medina, Kufa"
10,Abu 'Ubaidah ibn al-Jarrah,( أبو عبيدة بن الجراح ( رضي الله عنه,Comp.(RA) [1st Generation],583,640,"Makkah, Medina, Syria"
11,Sa'id bin Zayd,( سعيد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],623,671,"Makkah, Medina, Kufa"
12,Mus'ab ibn 'Umair,( مصعب بن عمير ( رضي الله عنه,Comp.(RA),0,625,"Makkah, Abyssinia, Medinah"
13,Abu Hurairah,( أبو هريرة - عبد الرحمن بن صخر الدوسي ( رضي الله عنه,Comp.(RA) [1st Generation],611,680,"Makkah, Medina, Yemen, Bahrain"
14,Salman Farsi,( سلمان أبو عبد الله الفارسي ( رضي الله عنه,Comp.(RA) [1st Generation],0,657,"Asbahan, Jia, Medina, Fars, Kufa"
15,Zayd ibn Harithah,( زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],588,630,"Makkah, Medina"
16,ibn Mas'ud,( عبد الله بن مسعود ( رضي الله عنه,Comp.(RA) [1st Generation],0,654,"Makkah, Abyssinia, Medina, kufah"
17,ibn Abbas,( عبد الله بن العباس بن عبد المطلب الحبر ( رضي الله عنه,Comp.(RA) [1st Generation],620,688,"Makkah, Medina"
18,ibn Umar,( عبد الله بن عمر بن الخطاب ( رضي الله عنه,Comp.(RA) [1st Generation],613,694,"Makkah, Medina"
19,Anas bin Malik,( أنس بن مالك بن النضر ( رضي الله عنه,Comp.(RA) [1st Generation],613,713,"Medinah, Damascus,  Basrah"
